Hall,Category,Time,Dish,Calories,Serving Size,Station,AutoCategory
Huffman,Lunch,(11:30am-2pm),Mint Chocolate Chip Ice Cream,260,0.5 cup,Velvet Ice Cream Bar,dessert 0.86
Huffman,Lunch,(11:30am-2pm),Orange Pineapple Ice Cream,240,0.5 cup,Velvet Ice Cream Bar,dessert 0.80
Huffman,Lunch,(11:30am-2pm),Pumpkin Pie Ice Cream,260,0.5 cup,Velvet Ice Cream Bar,dessert 0.83
Huffman,Lunch,(11:30am-2pm),Rainbow Sherbet,170,0.5 cup,Velvet Ice Cream Bar,dessert 0.60
Huffman,Lunch,(11:30am-2pm),Raspberry Fudge Cordial Ice Cream,290,0.5 cup,Velvet Ice Cream Bar,dessert 0.73
Huffman,Lunch,(11:30am-2pm),Strawberry Ice Cream,230,1 serving,Velvet Ice Cream Bar,dessert 0.88
Huffman,Lunch,(11:30am-2pm),Strawberry Cheesecake Ice Cream,260,0.5 cup,Velvet Ice Cream Bar,dessert 0.87
Huffman,Lunch,(11:30am-2pm),Summertime Peach Ice Cream,240,0.5 cup,Velvet Ice Cream Bar,dessert 0.74
Huffman,Lunch,(11:30am-2pm),Triple Chocolate Chunk Ice Cream,320,0.5 cup,Velvet Ice Cream Bar,dessert 0.82
Huffman,Lunch,(11:30am-2pm),Vanilla Ice Cream,260,0.5 cup,Velvet Ice Cream Bar,dessert 0.86
Huffman,Lunch,(11:30am-2pm),Pretzel Sticks,0,1 serving,Velvet Ice Cream Bar,other 0.55
Huffman,Lunch,(11:30am-2pm),Graham Cracker Crumbs,30,1 tbsp,Velvet Ice Cream Bar,main-carb 0.61
Huffman,Lunch,(11:30am-2pm),Oreo Cookie Crumbs,70,2 tbsp,Velvet Ice Cream Bar,dessert 0.56
Huffman,Lunch,(11:30am-2pm),Rainbow Sprinkles,60,1 tbsp,Velvet Ice Cream Bar,other 0.52
Huffman,Lunch,(11:30am-2pm),Hershey's Chocolate Syrup,190,2 floz,Velvet Ice Cream Bar,dessert 0.61
Huffman,Lunch,(11:30am-2pm),Caramel  Sauce,120,1 floz,Velvet Ice Cream Bar,topping 0.60
Huffman,Dinner,(5pm-9pm),Romaine Lettuce,15,1 cup,Produce Market,produce 0.67
Huffman,Dinner,(5pm-9pm),Baby Spinach,15,1 cup,Produce Market,produce 0.55
Huffman,Dinner,(5pm-9pm),Chilled Quinoa,130,0.5 cup,Produce Market,main-plant 0.60
Huffman,Dinner,(5pm-9pm),Grape Tomatoes,15,0.5 cup,Produce Market,produce 0.72
Huffman,Dinner,(5pm-9pm),Sliced Cucumber,10,0.5 cup,Produce Market,produce 0.68
Huffman,Dinner,(5pm-9pm),Shredded Carrots,25,2 oz,Produce Market,produce 0.71
Huffman,Dinner,(5pm-9pm),Sliced Red Onions,15,1 oz,Produce Market,produce 0.68
Huffman,Dinner,(5pm-9pm),Sliced Bell Peppers,10,1 oz,Produce Market,produce 0.71
Huffman,Dinner,(5pm-9pm),Sliced Black Olives,0,2 tbsp,Produce Market,other 0.59
Huffman,Dinner,(5pm-9pm),Roasted Edamame,170,0.5 cup,Produce Market,main-plant 0.63
Huffman,Dinner,(5pm-9pm),Pickled Beets,15,1 oz,Produce Market,produce 0.68
Huffman,Dinner,(5pm-9pm),Crispy Chickpeas,60,0.5 oz,Produce Market,main-plant 0.59
Huffman,Dinner,(5pm-9pm),Diced Chicken,160,3.75 oz,Produce Market,main-combo 0.64
